Modelo,MAE,RMSE,R2
RandomForest(n=300),875.4514248595968,1783.5603104047195,0.8339028536378015
Ridge(alpha=1.0),2866.2643492967136,3704.410982364906,0.2834856405234575
LinearRegression,2865.9530878129035,3704.5434487355346,0.28343439580240715
