area,iptu,taxa_condominial,num_quartos,num_banheiros,num_suites,num_vagas_garagem,num_andares,tipo_imovel,estado_construcao,fonte,imovel_lancamento,bl_temporada,vista_mar_bin,mobiliado_bin,preco_m2
187.0,4250.0,2315.0,3,4,2,2,0,Cobertura,desconhecido,Viva Real,0,0,1,1,8021.39037433155
107.0,4800.0,1150.0,3,2,1,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,6046.728971962617
98.0,1500.0,800.0,3,2,1,0,0,Apartamento,desconhecido,Viva Real,0,0,0,0,17346.938775510203
124.0,1919.0,1085.0,3,3,1,2,0,Apartamento,desconhecido,Viva Real,0,0,0,1,10080.645161290322
64.0,87.0,762.0,2,1,0,1,10,Apartamento,desconhecido,Viva Real,0,0,1,1,6093.75
107.0,4800.0,1150.0,3,2,1,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,6046.728971962617
187.0,4250.0,2315.0,3,4,2,2,0,Cobertura,desconhecido,Viva Real,0,0,1,1,8021.39037433155
124.0,1919.0,1085.0,3,3,1,2,0,Apartamento,desconhecido,Viva Real,0,0,0,1,10080.645161290322
60.0,160.0,650.0,2,1,0,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,8000.0
64.0,87.0,762.0,2,1,0,1,10,Apartamento,desconhecido,Viva Real,0,0,1,1,6093.75
219.0,6500.0,1600.0,4,4,2,2,11,Apartamento,desconhecido,Viva Real,0,0,0,1,8219.17808219178
320.0,0.0,0.0,3,5,3,4,12,Apartamento,desconhecido,Viva Real,0,0,0,0,12187.5
320.0,0.0,0.0,3,5,3,4,12,Apartamento,desconhecido,Viva Real,0,0,0,0,12187.5
164.0,1.0,1026.0,4,4,1,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,6402.4390243902435
164.0,1.0,1026.0,4,4,1,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,6402.4390243902435
190.0,4000.0,1307.0,4,5,2,3,0,Apartamento,desconhecido,Viva Real,0,0,1,0,9894.736842105263
190.0,4000.0,1307.0,4,5,2,3,0,Apartamento,desconhecido,Viva Real,0,0,1,0,9894.736842105263
129.0,3000.0,900.0,3,3,1,2,0,Apartamento,desconhecido,Viva Real,0,0,0,0,8992.248062015504
61.0,200.0,570.0,3,1,0,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,5573.770491803279
88.0,894.0,676.0,3,2,1,1,14,Apartamento,desconhecido,Viva Real,0,0,0,0,10454.545454545454
161.0,,1364.0,4,1,3,2,0,Apartamento,desconhecido,Viva Real,0,0,0,0,10248.447204968945
219.0,6500.0,1600.0,4,4,2,2,11,Apartamento,desconhecido,Viva Real,0,0,0,1,8219.17808219178
143.0,2759.0,1635.0,3,4,1,2,12,Apartamento,desconhecido,Viva Real,0,0,0,0,10489.510489510489
47.0,1300.0,500.0,2,1,0,1,6,Apartamento,desconhecido,Viva Real,0,0,0,0,6382.978723404255
254.0,5600.0,2100.0,3,4,3,0,0,Apartamento,desconhecido,Viva Real,0,0,0,0,7480.314960629921
77.0,2400.0,629.0,3,2,1,2,18,Apartamento,desconhecido,Viva Real,0,0,0,1,12987.012987012988
250.0,4900.0,1800.0,4,3,2,3,0,Apartamento,desconhecido,Viva Real,0,0,0,0,10000.0
85.0,2178.0,758.0,3,2,1,1,14,Apartamento,desconhecido,Viva Real,0,0,0,1,10000.0
60.0,,,2,2,1,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,9666.666666666666
95.0,2320.0,970.0,3,3,1,1,12,Apartamento,desconhecido,Viva Real,0,0,1,0,11894.736842105263
85.0,2178.0,758.0,3,2,1,1,14,Apartamento,desconhecido,Viva Real,0,0,0,1,10000.0
69.0,100.0,550.0,2,2,1,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,10579.710144927536
68.0,0.0,0.0,2,2,1,2,15,Apartamento,desconhecido,Viva Real,0,0,0,0,21806.9153612532
60.0,0.0,0.0,0,1,0,1,10,Consultório,desconhecido,Viva Real,0,0,0,1,6333.333333333333
95.0,2320.0,970.0,3,3,1,1,12,Apartamento,desconhecido,Viva Real,0,0,1,0,11894.736842105263
155.0,4632.0,986.0,3,1,1,2,0,Apartamento,desconhecido,Viva Real,0,0,0,1,15806.451612903225
155.0,4632.0,986.0,3,1,1,2,0,Apartamento,desconhecido,Viva Real,0,0,0,1,15806.451612903225
176.0,4264.0,1525.0,2,1,1,2,0,Cobertura,desconhecido,Viva Real,0,0,1,0,10227.272727272728
